"","Country","ISO.code","Continent","Happiness","Fertility","GDPpercapita","Lifeexpectancy","Meatconsumption","Medianage","Urbanizationrate","CCDR3070","POISON_MORT","NONCOM_DISEASE","MATERNAL_MORT","ROADTRAFFIC_MORT","UNIV_HEALTHCARE","MEDICS","DRINKING_WATER","CLEAN_FUEL_TECH"
"1","Afghanistan","AFG","Asia & Oceania",2.523,4.5,2182,64.5,17.3,27.4,26,29.8,1.19,29.8,638,15.1,37,2.78,57.32,37
"2","Albania","ALB","Europe",5.117,1.6,14866,77.8,31.1,32.9,62.1,17,0.44,17,15,13.6,59,12.16,89.88,80
"3","Algeria","DZA","Africa",4.887,3,16091,76.7,18.3,28.1,73.7,14.2,0.77,14.2,112,14.3,78,17.19,88.69,95
"4","Argentina","ARG","South America",5.929,2.3,19971,76.5,79.7,31.7,92.1,15.8,0.64,15.8,39,14,76,39.9,99.64,95
"5","Armenia","ARM","Asia & Oceania",5.283,1.8,11845,74.9,27.7,35.1,63.3,22.3,0.63,22.3,26,17.1,69,44.02,100,95
"6","Australia","AUS","Asia & Oceania",7.183,1.7,54799,83.3,108.2,38.7,86.2,9.1,0.19,9.1,6,5.6,87,36.78,100,95
"7","Austria","AUT","Europe",7.268,1.5,55171,81.4,94.1,44,58.7,11.4,0.22,11.4,5,5.2,79,51.7,100,95
"8","Azerbaijan","AZE","Asia & Oceania",5.171,1.7,19156,72.9,15.9,32.3,56.4,22.2,0.55,22.2,26,8.7,65,34.46,81.57,95
"9","Bahrain","BHR","Asia & Oceania",6.647,2,51991,77.2,70.7,32.3,89.5,11.3,0.21,11.3,14,33.7,77,9.26,100,95
"10","Bangladesh","BGD","Asia & Oceania",5.025,2,5453,72.3,3.1,26.7,38.2,21.6,0.29,21.6,173,15.3,48,5.81,96.75,24
"11","Belarus","BLR","Europe",5.534,1.4,21224,74.6,58.6,40,79.5,23.7,2.61,23.7,2,8.9,76,51.91,95.98,95
"12","Belgium","BEL","Europe",6.834,1.6,50904,81.5,86.1,41.4,98.1,11.4,0.23,11.4,5,5.8,84,30.71,100,95
"13","Benin","BEN","Africa",5.045,4.8,3648,61.5,16.2,18.2,48.4,19.6,3.51,19.6,397,27.5,40,0.79,58.22,5
"14","Bolivia","BOL","South America",5.716,2.7,8525,71.2,50,24.3,70.1,17.2,2.03,17.2,155,15.5,68,15.9,78.12,84
"15","Bosnia and Herzegovina","BIH","Europe",5.813,1.3,14894,77.3,21.4,42.1,49,17.8,0.52,17.8,10,15.7,61,21.62,94.85,45
"16","Botswana","BWA","Africa",3.467,2.9,19388,69.3,27.3,24.5,70.9,20.3,1.12,20.3,144,23.8,61,5.27,75.53,53
"17","Brazil","BRA","South America",6.33,1.7,17106,75.7,82.4,32.6,87.1,16.6,0.19,16.6,60,19.7,79,21.64,89.74,95
"18","Bulgaria","BGR","Europe",5.266,1.6,26034,74.9,69.4,42.7,75.7,23.6,0.61,23.6,10,10.2,66,40.33,98.05,87
"19","Burkina Faso","BFA","Africa",4.834,5.2,2181,61.2,11.2,17.3,30.6,21.7,2.96,21.7,320,30.5,40,0.85,34.99,10
"20","Burundi","BDI","Africa",3.775,5.4,724,61.2,3.5,17,13.7,22.9,5.19,22.9,548,34.7,42,1,56.62,5
"21","Cambodia","KHM","Asia & Oceania",4.83,2.5,5004,69.6,13.9,25.3,24.2,21.1,0.6,21.1,160,17.8,60,1.93,72.9,22
"22","Cameroon","CMR","Africa",5.142,4.6,4099,58.9,14.4,18.5,57.6,21.6,3.12,21.6,529,30.1,46,0.88,39.01,24
"23","Canada","CAN","North America",7.103,1.5,52144,82.3,108.1,42.2,81.6,9.8,0.3,9.8,10,5.8,89,23.11,98.88,95
"24","Chad","TCD","Africa",4.355,5.7,2603,54,14.3,17.8,23.5,23.9,3.59,23.9,1140,27.6,28,0.43,29.47,5
"25","Chile","CHL","South America",6.172,1.6,27150,80,66.4,34.4,87.7,12.4,0.21,12.4,13,12.5,70,25.91,100,95
"26","China","CHN","Asia & Oceania",5.339,1.7,20984,76.7,52.4,37.4,61.4,17,1.36,17,29,18.2,79,19.8,86.15,64
"27","Colombia","COL","South America",6.012,1.8,16265,77.1,33.9,30,81.4,15.8,0.37,15.8,83,18.5,76,21.85,86.45,93
"28","Comoros","COM","Africa",4.289,4.2,2898,64.1,7.6,19.9,29.4,22.9,2.37,22.9,273,26.5,52,2.72,76.91,8
"29","Costa Rica","CRI","North America",7.069,1.8,18651,80.1,40.4,31.3,80.8,11.5,0.29,11.5,27,16.7,77,28.94,99.53,95
"30","Croatia","HRV","Europe",5.882,1.5,29207,78.3,49.9,43,57.6,16.7,0.17,16.7,8,8.1,71,30,99.57,86
"31","Cyprus","CYP","Asia & Oceania",6.223,1.3,42956,80.8,131.3,36.8,66.8,11.3,0.1,11.3,6,5.1,78,19.51,99.55,95
"32","Czech Republic","CZE","Europe",6.965,1.7,40585,79.2,77.3,42.1,74.1,15,0.3,15,3,5.9,76,41.21,99.82,95
"33","Denmark","DNK","Europe",7.62,1.7,55675,80.8,145.9,42.2,88.1,11.3,0.15,11.3,4,4,81,40.1,100,95
"34","Dominican Republic","DOM","North America",5.545,2.3,20625,73.9,37.8,28.1,82.5,19,0.38,19,95,34.6,74,15.27,90.28,89
"35","Ecuador","ECU","South America",5.764,2.4,11866,76.8,45,27.7,64.2,13,0.59,13,59,21.3,77,20.37,100,94
"36","Egypt","EGY","Africa",4.283,3.3,14800,71.8,22.5,23.9,42.8,27.7,0.22,27.7,37,9.7,68,4.52,98.82,95
"37","El Salvador","SLV","North America",6.061,2,8593,73.1,21.4,27.1,73.4,14,0.23,14,46,22.2,76,15.66,92.22,91
"38","Estonia","EST","Europe",6.189,1.7,37606,78.6,67.4,42.7,69.2,17,0.48,17,9,6.1,75,44.83,99.19,95
"39","Eswatini","SWZ","Africa",4.308,3,11139,59.4,29.9,21.7,24.2,26.7,3.31,26.7,437,26.9,63,3.29,60.42,54
"40","Ethiopia","ETH","Africa",4.275,4.2,2702,66.2,7.9,17.9,21.7,18.3,2.87,18.3,401,26.7,39,0.77,31.07,5
"41","Finland","FIN","Europe",7.842,1.4,49548,81.7,67.4,42.5,85.5,10.2,0.23,10.2,3,4.7,78,38.12,100,95
"42","France","FRA","Europe",6.69,1.9,48640,82.5,101.1,41.4,81,10.6,0.46,10.6,8,5.5,78,32.67,100,95
"43","Gabon","GAB","Africa",4.852,4,19839,66.2,46,18.6,90.1,14.4,0.93,14.4,252,23.2,49,6.82,55.05,87
"44","Georgia","GEO","Asia & Oceania",4.891,2.1,13200,73.6,26,38.1,59.5,24.9,0.81,24.9,25,15.3,66,71.2,100,81
"45","Germany","DEU","Europe",7.155,1.6,55306,81.2,82.1,47.1,77.5,12.1,0.15,12.1,7,4.1,83,42.49,100,95
"46","Ghana","GHA","Africa",5.088,3.9,7343,63.8,9.9,21.1,57.3,20.8,1.66,20.8,308,24.9,47,1.36,67.54,28
"47","Greece","GRC","Europe",5.723,1.4,31616,82.1,78.7,44.5,79.7,12.4,0.23,12.4,3,9.2,75,54.79,100,95
"48","Guatemala","GTM","North America",6.435,2.9,9009,74.1,23.8,22.1,51.8,14.9,1.07,14.9,95,16.6,55,3.55,90.36,46
"49","Guinea","GIN","Africa",4.984,4.7,2574,61.2,6.5,20.1,44.2,22.4,2.96,22.4,576,28.2,37,0.83,48.72,5
"50","Haiti","HTI","North America",3.615,2.9,1916,63.7,15.3,23,57.1,26.5,2.57,26.5,480,19.9,49,2.34,42.64,5
"51","Honduras","HND","North America",5.919,2.5,5600,75.1,24.7,23,58.4,14,0.39,14,65,16.7,65,3.09,88.87,57
"52","Hungary","HUN","Europe",5.992,1.6,35941,76.7,100.7,42.3,71.9,23,0.27,23,12,7.8,74,34.08,100,95
"53","Iceland","ISL","Europe",7.554,1.7,56974,82.9,84.8,36.5,93.9,9.1,0.21,9.1,4,6.6,84,40.78,100,95
"54","India","IND","Asia & Oceania",3.819,2.2,9027,69.4,5.2,28.1,34.9,23.3,2.36,23.3,145,22.6,55,8.57,91,49
"55","Indonesia","IDN","Asia & Oceania",5.345,2.3,14841,71.5,8.3,30.2,56.6,26.4,0.4,26.4,177,12.2,57,4.27,81.98,80
"56","Iran","IRN","Asia & Oceania",4.721,2.9,17832,76.5,23.1,30.3,75.9,14.8,1.2,14.8,16,20.5,72,15.84,89.01,95
"57","Iraq","IRQ","Asia & Oceania",4.854,3.7,18755,70.5,18.2,20,70.9,21.3,0.5,21.3,79,20.7,61,7.08,91.06,95
"58","Ireland","IRL","Europe",7.085,1.8,86988,82.1,106.3,36.8,63.7,10.3,0.21,10.3,5,4.1,76,33.13,96.98,95
"59","Israel","ISR","Asia & Oceania",7.157,2.4,40337,82.8,97.1,29.9,92.6,9.6,0.14,9.6,3,4.2,82,46.25,100,95
"60","Italy","ITA","Europe",6.483,1.3,41582,83.6,90.4,45.5,71,9.5,0.27,9.5,2,5.6,82,39.77,99.38,95
"61","Ivory Coast","CIV","Africa",5.306,4.6,4754,57.4,11.3,20.9,51.7,29.1,3.95,29.1,617,23.6,47,2.31,57.83,29
"62","Jamaica","JAM","North America",6.309,2,9932,74.4,56.8,26,56.3,14.7,0.21,14.7,80,13.6,65,13.06,84.61,84
"63","Japan","JPN","Asia & Oceania",5.94,1.4,46827,84.5,45.9,47.3,91.8,8.4,0.41,8.4,5,4.1,83,24.12,99.01,95
"64","Jordan","JOR","Asia & Oceania",4.395,2.8,9939,74.4,29.8,22.5,91.4,19.2,0.63,19.2,46,24.4,76,23.24,97.7,95
"65","Kazakhstan","KAZ","Asia & Oceania",6.152,2.8,30178,73.2,44.8,30.6,57.7,26.8,2.3,26.8,10,17.6,76,39.8,92.31,95
"66","Kenya","KEN","Africa",4.607,3.5,4078,63.3,14.3,19.7,28,13.4,1.77,13.4,342,27.8,55,1.57,49.61,10
"67","Kuwait","KWT","Asia & Oceania",6.106,2.1,67891,75.4,60.2,29.3,56.4,17.4,0.18,17.4,12,17.6,76,26.46,100,95
"68","Kyrgyzstan","KGZ","Asia & Oceania",5.744,3.3,4193,71.3,39,26.5,36.9,24.9,0.63,24.9,60,15.4,70,22.13,81.98,77
"69","Latvia","LVA","Europe",6.032,1.6,32987,75.2,45.7,43.6,68.3,21.9,0.85,21.9,19,9.3,71,31.91,98.18,95
"70","Lebanon","LBN","Asia & Oceania",4.584,2.1,15599,78.9,63.1,30.5,88.9,17.9,0.3,17.9,29,18.1,73,21.04,92.6,95
"71","Lesotho","LSO","Africa",3.512,3.1,3655,53.7,15.4,24.2,29,26.6,3.12,26.6,544,28.9,48,0.69,59.32,39
"72","Liberia","LBR","Africa",4.625,4.3,1428,63.7,7.9,17.8,52.1,17.6,1.81,17.6,661,35.9,39,0.38,61.96,5
"73","Libya","LBY","Africa",5.41,2.2,9446,72.7,28.6,28.9,80.7,20.1,0.62,20.1,72,26.1,64,20.91,98.53,50
"74","Lithuania","LTU","Europe",6.255,1.6,38751,75.7,49.5,43.7,68,20.7,0.71,20.7,8,8,73,63.53,92.76,95
"75","Luxembourg","LUX","Europe",7.324,1.4,112045,82.1,141.7,39.3,91.5,10,0.1,10,5,6.3,83,30.09,100,95
"76","Madagascar","MDG","Africa",4.208,4.1,1776,66.7,17.6,19.7,38.5,22.9,3.32,22.9,335,28.6,28,1.81,36.33,5
"77","Malawi","MWI","Africa",3.6,4.2,1292,63.8,5.1,16.5,17.4,16.4,1.99,16.4,349,31,46,0.36,65.42,5
"78","Malaysia","MYS","Asia & Oceania",5.384,2,34567,76.1,50.9,28.5,77.2,17.2,0.48,17.2,29,23.6,73,15.36,89.34,95
"79","Maldives","MDV","Asia & Oceania",5.198,1.9,24796,74.4,16.6,28.2,40.7,13.4,0.041,13.4,53,0.9,62,45.63,98.3,95
"80","Mali","MLI","Africa",4.723,5.9,2569,58.9,19,15.8,43.9,24.6,3.25,24.6,562,23.1,38,1.29,68.35,5
"81","Malta","MLT","Europe",6.602,1.2,49589,82.4,86.9,41.8,94.7,10.8,0.12,10.8,6,6.1,82,28.6,100,95
"82","Mauritania","MRT","Africa",4.227,4.6,5158,64.7,29.9,20.5,55.3,18.1,1.87,18.1,766,24.7,41,1.87,49.91,43
"83","Mauritius","MUS","Africa",6.049,1.4,26461,74.9,39.6,35.3,40.8,22.6,0.11,22.6,61,13.7,63,25.33,99.83,95
"84","Mexico","MEX","North America",6.317,2.1,21363,75,58.6,28.3,80.7,15.7,0.43,15.7,33,13.1,76,23.83,100,84
"85","Moldova","MDA","Europe",5.766,1.3,8161,71.8,22.7,36.7,42.8,24.9,1.16,24.9,19,9.7,69,32.07,83.16,95
"86","Mongolia","MNG","Asia & Oceania",5.677,2.9,15089,69.7,108.8,28.3,68.7,30.2,1.57,30.2,45,16.5,62,28.59,55.87,50
"87","Montenegro","MNE","Europe",5.581,1.7,21977,76.8,21.4,40.7,67.5,20.6,0.53,20.6,6,10.7,68,27.56,95.91,56
"88","Morocco","MAR","Africa",4.918,3.1,9667,76.5,20.6,29.3,63.5,12.4,0.56,12.4,70,19.6,70,7.31,70.73,95
"89","Mozambique","MOZ","Africa",4.794,4.9,1372,60.2,5.6,17.2,37.1,18.4,2.94,18.4,289,30.1,46,0.84,39.96,5
"90","Myanmar","MMR","Asia & Oceania",4.426,2.2,7220,66.9,10.7,25.7,31.1,24.2,1.41,24.2,250,19.9,61,6.77,76.91,28
"91","Namibia","NAM","Africa",4.574,3.4,11451,63.4,34,21.2,52,21.3,1.55,21.3,195,30.4,62,4.18,69.22,46
"92","Nepal","NPL","Asia & Oceania",5.269,1.9,3550,70.5,10,24.1,20.6,21.8,0.45,21.8,186,15.9,48,7.49,88.73,29
"93","Netherlands","NLD","Europe",7.464,1.6,60299,82.1,89.3,42.6,92.2,11.2,0.1,11.2,5,3.8,86,36.05,100,95
"94","New Zealand","NZL","Asia & Oceania",7.277,1.7,42045,82.1,142.1,37.9,86.7,10.1,0.19,10.1,9,7.8,87,35.9,100,95
"95","Nicaragua","NIC","North America",5.972,2.4,5297,74.3,14.9,25.7,59,14.2,0.57,14.2,98,15.7,73,9.78,59.11,48
"96","Niger","NER","Africa",5.074,5.3,1152,62,11.2,15.4,16.6,20,4.15,20,509,26.2,37,0.43,43.62,5
"97","Nigeria","NGA","Africa",4.759,5.4,6172,54.3,8.6,18.4,52,22.5,2.96,22.5,917,21.4,42,3.81,55.59,10
"98","North Macedonia","MKD","Europe",5.101,1.5,17378,75.7,35.4,37.9,58.5,20.3,0.37,20.3,7,6.4,72,28.74,90.58,65
"99","Norway","NOR","Europe",7.392,1.6,79638,82.5,61.7,39.2,83,9.2,0.18,9.2,2,2.7,87,29.16,100,95
"100","Pakistan","PAK","Asia & Oceania",4.934,3.5,6016,67.1,12.3,23.8,37.2,24.7,2.27,24.7,140,14.3,45,9.8,89.88,44
"101","Panama","PAN","North America",6.18,2.5,28456,78.3,54.5,29.2,68.4,13,0.39,13,52,14.3,79,15.69,92.86,88
"102","Paraguay","PRY","South America",5.653,2.4,13213,74.1,70.3,28.2,62.2,17.5,0.34,17.5,84,22.7,69,13.54,99.16,68
"103","Peru","PER","South America",5.84,2.3,15399,76.5,34.5,28,78.3,12.6,0.89,12.6,88,13.5,77,13.05,75.58,80
